"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"16","NIFTY50DIVPOINT","NIFTY50DIVPOINT","P&F | F.A","275.15%","18.42","0"
"5","Nucleus Software Exports Limited","NUCLEUS","P&F | F.A","20%","1186.25","3,08,866"
"7","The Peria Karamalai Tea & Produce Company Limited","PKTEA","P&F | F.A","19.99%","785.6","12,782"
"17","Zee Learn Limited","ZEELEARN","P&F | F.A","19.97%","7.87","44,38,862"
"3","Paras Defence and Space Technologies Ltd","PARAS","P&F | F.A","18.82%","1799.5","77,18,276"
"9","Onward Technologies Limited","ONWARDTEC","P&F | F.A","17.76%","313","12,34,349"
"13","Bpl Limited","BPL","P&F | F.A","16.63%","87.74","15,82,956"
"15","Pearl Polymers Limited","PEARLPOLY","P&F | F.A","16.34%","33.75","3,09,895"
"14","Ifci Limited","IFCI","P&F | F.A","15.69%","51.77","8,37,79,268"
"10","Rites Ltd","RITES","P&F | F.A","15.6%","286.99","2,50,91,451"
"8","Premier Explosives Limited","PREMEXPLN","P&F | F.A","13.92%","493.5","65,04,931"
"11","Oriental Hotels Limited","ORIENTHOT","P&F | F.A","13.58%","154.22","17,56,441"
"18","Lypsa Gems & Jewellery Limited","LYPSAGEMS","P&F | F.A","13.48%","7.07","4,00,357"
"6","Titagarh Rail Systems Ltd","TITAGARH","P&F | F.A","12.83%","912.85","2,25,02,300"
"2","Cochin Shipyard","COCHINSHIP","P&F | F.A","12.33%","2035.6","3,35,98,999"
"12","Capital Trust Ltd.","CAPTRUST","P&F | F.A","11.62%","94.63","85,506"
"4","Dhanuka Agritech Limited","DHANUKA","P&F | F.A","11.12%","1613","5,37,004"
"1","Mazagon Dock Shipbuilders Ltd","MAZDOCK","P&F | F.A","10.68%","3522.4","1,65,61,103"
