Company,Change
Garden Reach Ship,+ 59.95
Paras Defence,+ 52.53
Apar Industries,+ 45.01
CARE Ratings,+ 42.55
ideaForge Technology,+ 40.64
Honasa Consumer,+ 40.03
Mishra Dhatu Nig,+ 36.10
Astra Microwave,+ 34.65
Intellect Design,+ 34.55
R R Kabel,+ 33.99
Bharat Dynamics,+ 33.91
Zen Technologies Ltd,+ 31.50
Elecon Engg.,+ 30.50
Garware Hi-Tech Film,+ 30.38
Nazara Technologies,+ 29.83
Cochin Shipyard,+ 28.92
Inox Green Energy Se,+ 27.47
eClerx Services,+ 27.35
Mazagon Dock Ship,+ 26.56
Newgen Software Tech,+ 26.05
CCL Products India,+ 26.01
ITD Cementation Indi,+ 25.86
Ceat Ltd.,+ 25.66
Birla Corporation Lt,+ 25.66
Bharat Electroni,+ 25.44
Tata Teleservices (M,+ 25.43
Data Patterns (India,+ 25.16
