Company,Change
Garden Reach Ship,+ 60.94
ITD Cementation Indi,+ 42.98
Paras Defence,+ 42.12
CARE Ratings,+ 41.48
Intellect Design,+ 41.18
BEML Ltd.,+ 39.27
IFCI Ltd.,+ 38.79
Honasa Consumer,+ 37.71
CCL Products India,+ 36.74
Apar Industries,+ 36.39
ideaForge Technology,+ 36.08
R R Kabel,+ 35.25
Astra Microwave,+ 34.11
eClerx Services,+ 33.50
Mishra Dhatu Nig,+ 32.66
Prince Pipes & Fitti,+ 32.12
Bharat Dynamics,+ 31.72
Zen Technologies Ltd,+ 31.69
Netweb Technologies,+ 30.83
Sequent Scientific,+ 30.55
Mazagon Dock Ship,+ 30.05
Garware Hi-Tech Film,+ 29.40
Shilpa Medicare L,+ 29.38
Eureka Forbes,+ 28.96
Birla Corporation Lt,+ 28.94
Tata Teleservices (M,+ 28.56
Angel One,+ 28.33
Endurance Technologi,+ 28.29
Cochin Shipyard,+ 28.20
Kajaria Ceramics,+ 27.86
Inox Green Energy Se,+ 27.45
Nazara Technologies,+ 27.10
Finolex Industries,+ 26.94
Elecon Engg.,+ 26.80
Genus Power Infrastr,+ 26.68
Pfizer Ltd.,+ 26.51
Bharat Electroni,+ 26.26
Data Patterns (India,+ 26.23
Reliance Power L,+ 25.63
RailTel Corporation,+ 25.33
Jubilant Pharmova,+ 25.03
